14:17:40.330	SERVER	admin	OK	Server was started (port: 1984).
14:17:45.727	SERVER	admin	OK	Server was stopped (port: 1984).
14:18:16.328	SERVER	admin	ERROR	Resource "C:/Users/Mitchell/SwenWebsite/basex/bin/Colenso" not found.
14:18:42.427	SERVER	admin	ERROR	Resource "C:/Users/Mitchell/SwenWebsite/basex/bin/Colenso" not found.
14:18:55.850	SERVER	admin	OK	Server was started (port: 1984).
14:26:15.308	SERVER	admin	OK	Server was started (port: 1984).
14:26:28.193	SERVER	admin	OK	Server was stopped (port: 1984).
14:28:46.626	SERVER	admin	OK	Server was started (port: 1984).
14:29:01.805	SERVER	admin	OK	Server was stopped (port: 1984).
14:29:48.589	SERVER	admin	ERROR	Resource "C:/Users/Mitchell/SwenWebsite/basex/bin/Colenso" not found.
14:30:36.572	SERVER	admin	ERROR	Resource "C:/Users/Mitchell/SwenWebsite/basex/bin/Colenso" not found.
14:36:29.007	SERVER	admin	OK	Server was started (port: 1984).
15:47:54.903	SERVER	admin	OK	Server was stopped (port: 1984).
16:18:37.493	SERVER	admin	OK	Server was started (port: 1984).
16:22:11.876	SERVER	admin	OK	Server was stopped (port: 1984).
16:22:22.841	SERVER	admin	OK	Server was started (port: 1984).
16:32:20.145	127.0.0.1:52173	admin	REQUEST	OPEN Colenso	5.61 ms
16:32:20.146	127.0.0.1:52173	admin	OK	Database 'Colenso' was opened in 0.49 ms.	1.46 ms
16:32:45.373	127.0.0.1:52175	admin	REQUEST	OPEN Colenso	0.44 ms
16:32:45.373	127.0.0.1:52175	admin	OK	Database 'Colenso' was opened in 0.04 ms.	0.25 ms
16:33:55.784	127.0.0.1:52181	admin	REQUEST	OPEN Colenso	0.54 ms
16:33:55.784	127.0.0.1:52181	admin	OK	Database 'Colenso' was opened in 0.05 ms.	0.33 ms
16:33:55.800	127.0.0.1:52181	admin	REQUEST	XQUERY declare namespace tei= 'http://www.tei-c.org/ns/1.0'; //tei:name[@type = 'place' and position() = 1 and . = 'Manawarakau']	15.86 ms
16:33:56.603	127.0.0.1:52181	admin	OK	Query executed in 802.78 ms.	803.44 ms
16:40:11.943	SERVER	admin	OK	Server was stopped (port: 1984).
17:20:20.474	SERVER	admin	OK	Server was started (port: 1984).
17:20:36.309	127.0.0.1:53003	admin	REQUEST	OPEN Colenso	2.49 ms
17:20:36.310	127.0.0.1:53003	admin	OK	Database 'Colenso' was opened in 0.23 ms.	0.65 ms
17:20:36.313	127.0.0.1:53003	admin	REQUEST	XQUERY declare namespace tei= 'http://www.tei-c.org/ns/1.0'; //tei:name[@type = 'place' and position() = 1 and . = 'Manawarakau']	3.74 ms
17:20:36.859	127.0.0.1:53003	admin	OK	Query executed in 544.84 ms.	545.54 ms
17:25:40.381	127.0.0.1:53025	admin	REQUEST	OPEN Colenso	0.52 ms
17:25:40.381	127.0.0.1:53025	admin	OK	Database 'Colenso' was opened in 0.05 ms.	0.28 ms
17:27:55.777	127.0.0.1:53051	admin	REQUEST	OPEN Colenso	0.51 ms
17:27:55.777	127.0.0.1:53051	admin	OK	Database 'Colenso' was opened in 0.04 ms.	0.26 ms
17:27:55.778	127.0.0.1:53051	admin	REQUEST	XQUERY declare namespace tei= 'http://www.tei-c.org/ns/1.0'; //tei:name[@type = 'place' and position() = 1 and . = 'Manawarakau']	0.76 ms
17:27:55.909	127.0.0.1:53051	admin	OK	Query executed in 130.42 ms.	130.77 ms
17:29:34.541	127.0.0.1:53088	admin	REQUEST	OPEN Colenso	0.54 ms
17:29:34.542	127.0.0.1:53088	admin	OK	Database 'Colenso' was opened in 0.06 ms.	0.34 ms
17:29:34.542	127.0.0.1:53088	admin	REQUEST	XQUERY declare namespace tei= 'http://www.tei-c.org/ns/1.0'; //tei:name[@type = 'place' and position() = 1 and . = 'Manawarakau']	0.39 ms
17:29:34.645	127.0.0.1:53088	admin	OK	Query executed in 102.31 ms.	102.67 ms
17:30:48.283	127.0.0.1:53093	admin	REQUEST	OPEN Colenso	0.57 ms
17:30:48.283	127.0.0.1:53093	admin	OK	Database 'Colenso' was opened in 0.04 ms.	0.24 ms
17:30:48.283	127.0.0.1:53093	admin	REQUEST	XQUERY declare namespace tei= 'http://www.tei-c.org/ns/1.0'; //tei:name[@type = 'place' and position() = 1 and . = 'Manawarakau']	0.19 ms
17:30:48.390	127.0.0.1:53093	admin	OK	Query executed in 106.35 ms.	106.67 ms
17:35:54.675	127.0.0.1:53110	admin	REQUEST	OPEN Colenso	0.42 ms
17:35:54.676	127.0.0.1:53110	admin	OK	Database 'Colenso' was opened in 0.05 ms.	0.29 ms
17:35:54.676	127.0.0.1:53110	admin	REQUEST	XQUERY declare namespace tei= 'http://www.tei-c.org/ns/1.0'; //tei:name[@type = 'place' and position() = 1 and . = 'Manawarakau']	0.39 ms
17:35:54.772	127.0.0.1:53110	admin	OK	Query executed in 95.95 ms.	96.32 ms
17:37:20.512	127.0.0.1:53112	admin	REQUEST	OPEN Colenso	0.5 ms
17:37:20.513	127.0.0.1:53112	admin	OK	Database 'Colenso' was opened in 0.05 ms.	0.28 ms
17:38:03.320	127.0.0.1:53128	admin	REQUEST	OPEN Colenso	0.42 ms
17:38:03.321	127.0.0.1:53128	admin	OK	Database 'Colenso' was opened in 0.04 ms.	0.24 ms
17:39:35.239	127.0.0.1:53138	admin	REQUEST	OPEN Colenso	0.36 ms
17:39:35.239	127.0.0.1:53138	admin	OK	Database 'Colenso' was opened in 0.06 ms.	0.41 ms
17:40:00.823	127.0.0.1:53138	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.61 ms
17:40:00.966	127.0.0.1:53138	admin	OK	Query executed in 142.5 ms.	143.37 ms
17:41:33.987	127.0.0.1:53217	admin	REQUEST	OPEN Colenso	0.4 ms
17:41:33.987	127.0.0.1:53217	admin	OK	Database 'Colenso' was opened in 0.05 ms.	0.25 ms
17:41:55.521	127.0.0.1:53217	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.47 ms
17:41:55.525	127.0.0.1:53217	admin	OK	Query executed in 3.08 ms.	3.42 ms
17:43:43.426	127.0.0.1:53248	admin	REQUEST	OPEN Colenso	0.43 ms
17:43:43.426	127.0.0.1:53248	admin	OK	Database 'Colenso' was opened in 0.06 ms.	0.36 ms
17:44:06.246	127.0.0.1:53248	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.78 ms
17:44:06.251	127.0.0.1:53248	admin	OK	Query executed in 3.71 ms.	4.15 ms
17:45:43.470	127.0.0.1:53270	admin	REQUEST	OPEN Colenso	0.37 ms
17:45:43.470	127.0.0.1:53270	admin	OK	Database 'Colenso' was opened in 0.04 ms.	0.25 ms
17:46:05.330	127.0.0.1:53270	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.9 ms
17:46:05.335	127.0.0.1:53270	admin	OK	Query executed in 4.98 ms.	5.54 ms
17:52:15.036	127.0.0.1:53416	admin	REQUEST	OPEN Colenso	0.5 ms
17:52:15.037	127.0.0.1:53416	admin	OK	Database 'Colenso' was opened in 0.09 ms.	0.34 ms
17:52:16.489	127.0.0.1:53416	admin	REQUEST	XQUERY declare default element namespace 'http://www.tei-c.org/ns/1.0'; (//name[@type='place'])[1]	0.44 ms
17:52:16.492	127.0.0.1:53416	admin	OK	Query executed in 2.47 ms.	2.77 ms
